Country Name,Country Code,Time,Time Code,Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC]
United States,USA,2000,YR2000,100,100,100,7.3353713960741,8.20599694228722,5.42962368850183
United States,USA,2001,YR2001,100,100,100,7.12821680868542,6.78399231432694,4.67857120998539
United States,USA,2002,YR2002,100,100,100,7.08236787119647,8.6463611778167,4.84077918448262
United States,USA,2003,YR2003,100,100,100,6.90496749066525,8.88937612108964,5.32628227356981
United States,USA,2004,YR2004,100,100,100,6.79020605854096,8.63018553161945,5.47765651831783
United States,USA,2005,YR2005,100,100,100,6.60173784003223,8.57846553445898,5.84109087259038
United States,USA,2006,YR2006,100,100,100,6.3694074043804,9.24463118340514,6.39651397057971
United States,USA,2007,YR2007,100,100,100,6.36757144746924,8.36776393615508,6.30412819821935
United States,USA,2008,YR2008,100,100,100,6.22245169027002,9.00354134718557,6.84554083511255
United States,USA,2009,YR2009,100,100,100,6.08456327076516,10.2918450711157,7.35440475450257
United States,USA,2010,YR2010,100,100,100,6.0724792214272,10.1203551472397,7.5051720554451
United States,USA,2011,YR2011,100,100,100,5.90983674958677,12.2257135163932,8.16445164623265
United States,USA,2012,YR2012,100,100,100,5.69299524637643,12.0073970634651,8.48145040759456
United States,USA,2013,YR2013,100,100,100,5.67603563128095,12.6379191222813,8.71326157278159
United States,USA,2014,YR2014,100,100,100,5.62114571317303,12.9538270902926,8.75430895443964
United States,USA,2015,YR2015,100,100,100,5.40839253955352,13.2285932109672,8.71693586705814
United States,USA,2016,YR2016,100,100,100,..,..,..
Germany,DEU,2000,YR2000,100,100,100,4.63529428201804,6.19853122329914,3.70043759040219
Germany,DEU,2001,YR2001,100,100,100,4.69475690925934,6.51244401824412,3.89967279049467
Germany,DEU,2002,YR2002,100,100,100,4.58939121057672,7.64270028215289,4.41263678738536
Germany,DEU,2003,YR2003,100,100,100,4.59786268049527,7.55297770223143,5.05846742452957
Germany,DEU,2004,YR2004,100,100,100,4.5769511938077,9.26747449292675,5.82524443326874
Germany,DEU,2005,YR2005,100,100,100,4.51146599828359,10.1502111075024,6.76455100872253
Germany,DEU,2006,YR2006,100,100,100,4.471228450447,11.3220131113963,7.75322465619858
Germany,DEU,2007,YR2007,100,100,100,4.0991916760957,13.9380080579109,9.40658790331653
Germany,DEU,2008,YR2008,100,100,100,4.09940667751472,14.6992338976639,8.59224825671174
Germany,DEU,2009,YR2009,100,100,100,4.06809836556386,16.0785536793646,9.63006156970857
Germany,DEU,2010,YR2010,100,100,100,4.11533555707247,16.7270736678142,10.2935196369107
Germany,DEU,2011,YR2011,100,100,100,3.77303671283679,20.3832827208232,11.3943559060623
Germany,DEU,2012,YR2012,100,100,100,3.77181071456031,23.0004585405584,12.0151357257952
Germany,DEU,2013,YR2013,100,100,100,3.83175597713428,24.0725497476084,12.0890787546162
Germany,DEU,2014,YR2014,100,100,100,3.64039942390138,26.1300965691114,13.3788782316752
Germany,DEU,2015,YR2015,100,100,100,3.6030941551038,29.2317701223308,14.2062526977772
Germany,DEU,2016,YR2016,100,100,100,..,..,..
China,CHN,2000,YR2000,94.142393525458,96.2439270019531,100,10.2330505139265,16.6394981921286,29.7307148369434
China,CHN,2001,YR2001,94.6539613538074,96.5562057495117,99.7822723388672,9.83358330647969,18.9585191657511,28.4558153762583
China,CHN,2002,YR2002,95.0174743181508,96.8561401367187,99.8025512695313,9.62184205654561,17.6186278990475,27.0982015214674
China,CHN,2003,YR2003,95.3841839748792,97.149787902832,99.8230514526367,9.9942099834131,15.0370403322247,23.9465795861498
China,CHN,2004,YR2004,95.7631228956269,97.4432144165039,99.846565246582,10.3559973757278,16.2232664186372,20.2494792551361
China,CHN,2005,YR2005,96.1643641071664,97.7424926757813,99.8756866455078,10.2813087845064,16.1750249753446,18.2038186462091
China,CHN,2006,YR2006,96.6254570627196,98.0668106079102,99.9111175537109,9.97448941321124,15.5927834152258,17.0946100836398
China,CHN,2007,YR2007,97.120619980515,98.3987045288086,99.9483032226563,9.44675565223316,15.263347136776,15.3493711431443
China,CHN,2008,YR2008,97.6808575144427,98.7499160766602,99.9779815673828,8.88879012128668,17.7374440648538,14.6019965741267
China,CHN,2009,YR2009,98.3086743182799,99.1156463623047,99.9940795898438,8.69387284061915,17.8637981987375,13.9119622748916
China,CHN,2010,YR2010,98,99.7,100,8.67917853685099,18.6228260527723,12.8843103068778
China,CHN,2011,YR2011,99.4916258139791,99.7487258911133,100,8.50231950127344,16.7617704327503,11.6957969853632
China,CHN,2012,YR2012,99.8261974099054,99.9163818359375,100,8.19029944077663,19.9662489377563,11.9685670286267
China,CHN,2013,YR2013,99.9639480481572,99.9831161499023,100,7.85133380344517,20.2962273802567,11.8381669000852
China,CHN,2014,YR2014,99.9966865099426,99.9984893798828,100,7.10422000054532,22.6091537829535,12.2238230065824
China,CHN,2015,YR2015,100,100,100,6.69006970167277,23.926817173663,12.4133525698911
China,CHN,2016,YR2016,100,100,100,..,..,..
India,IND,2000,YR2000,48.1816286732758,59.3957443237305,88.7140884399414,6.94959487076476,13.5909480276924,51.5793476223734
India,IND,2001,YR2001,43.6,55.8,87.6,6.72480637599239,13.2070435298578,51.7872192257844
India,IND,2002,YR2002,51.4599656790939,62.3,89.8399200439453,6.67200102251513,12.0551611624532,50.5694426557262
India,IND,2003,YR2003,53.3333017676252,63.9244918823242,90.401725769043,6.33392172930991,13.4694247561217,50.8427990577573
India,IND,2004,YR2004,53.5999198920632,64.4,90.9665603637695,6.18110787146406,14.4825005007376,49.7240246052468
India,IND,2005,YR2005,56.767529101516,66.9324493408203,91.537223815918,5.87751946572999,16.6190180757235,48.5753087512264
India,IND,2006,YR2006,55.7,67.9,93.1,5.66184904777442,17.5404247180092,47.4437217093748
India,IND,2007,YR2007,60.2947015578398,69.9880218505859,92.7073287963867,5.50764929853643,17.8640856862195,45.8678035195348
India,IND,2008,YR2008,62.1101038287165,71.5473175048828,93.3116302490235,5.56214240997603,16.5098337370558,43.6328830116274
India,IND,2009,YR2009,66,75,96.1,5.64671193201939,15.6600552489802,40.7708275885812
India,IND,2010,YR2010,65.7,76.3,94,5.35317924225662,16.0437444354595,39.4815087312075
India,IND,2011,YR2011,55.8,67.6,92.9,5.23298571103505,17.316962856526,38.9317402139462
India,IND,2012,YR2012,72.7,79.9,96.1,5.19964331645046,15.732973360913,38.3908901522843
India,IND,2013,YR2013,71.6550475706534,79.5991134643555,96.4849090576172,4.98862544005017,17.3493138262499,37.8498411784972
India,IND,2014,YR2014,73.6316231707346,81.2395095825195,97.1374206542969,4.96014949895526,16.2538398153488,36.651837856374
India,IND,2015,YR2015,83.2,88,97.5,4.73091044855314,15.3430503454798,36.0212225652817
India,IND,2016,YR2016,77.6286901645437,84.5268173217773,98.4463119506836,..,..,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: Sustainable Energy for All,,,,,,,,,
Last Updated: 06/30/2018,,,,,,,,,
