Country,1975,1980,1985,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-2018,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,743,743,855,838,843,960,960,960,960,960,963,965,965,887,824,823,813,906,926,925.7,950.6,935.6,-0.015779508,-0.001295165,0.067161621
US,,,,2913.5,3170.96,2793,2216,2252,2133,2152,2285,2274,2214,2229,2382,2405,2409,2592,2607,2514,2542,2517,2483,2540.5,2555.3,0.005825625,0.013166714,0.18343105
Total North America,,,,3656.5,3913.96,3648,3054,3095,3093,3112,3245,3234,3174,3192,3347,3370,3296,3416,3430,3327,3448,3443,3408.7,3491.1,3490.9,-5.72885E-05,0.008997153,0.250592671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,48,39.7,-0.172916667,---,0.002849846
Costa Rica,,,,0,55,145,145,144.7,162.7,165.7,165.7,165.7,165.7,165.7,165.7,165.7,217.5,217.5,217.5,217.5,217.36,206.86,206.86,206.86,261.86,0.265880306,0.022434278,0.018797501
El Salvador,,,,95,105,161.2,161.2,161.2,161.2,151.2,151.2,151.2,204.4,204.4,204.4,204.4,151.2,204.4,204.4,204.4,204.4,204.4,204.4,204.4,204.4,0,0,0.014672761
Guatemala,,,,0,0,29,29,29,29,29,29,54.2,54.2,54.2,54.2,54.2,54.2,54.2,49.2,49.2,49.2,49.2,49.2,49.2,52,0.056910569,---,0.003732796
Honduras,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,35,0,---,0.002512459
Nicaragua,,,,35,70,21,26,77.5,77.5,77.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,164.5,154.5,154.5,154.5,154.5,154.5,154.5,153.24,-0.00815534,0.058502878,0.011000264
Other S. and Cent. America,,,,0,0,4.6,4.6,4.6,4.6,4.6,15.6,15.6,15.6,15.6,15,15,15,15,15,11.5,14.5,14.5,15,15,15,4.55191E-14,-0.00391439,0.001076768
Total S. & Cent. America,,,,130,230,360.8,365.8,417,435,428,449,474.2,527.4,527.4,526.8,526.8,525.4,655.6,640.6,637.1,639.96,629.46,688.96,712.96,761.2,0.06766158,0.030605614,0.054642396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,---,0.000717845
France,,,,4.2,4.2,0,0,0,0,0,0,0,0,0,0,0,16.3,15.3,16.3,16.3,16.3,15.51,15.9,15.9,15.9,0,---,0.001141374
Germany,,,,0,0,0,0,0,0,0.2,0.2,0.2,3,3,8,8,8,12,24,29,29,33,32,36,42,0.166666667,0.282088854,0.003014951
Iceland,,,,44.8,49.6,172,202,202,202,202,232,422,485,575,575,575,665,665,665,665,665,663,708,753,753,0,0.027336488,0.054053763
Italy,,,,545,631.7,590,573,666,707,642,671,671,671,671,695,728,728,728,729,768,768,767,767.19,767.19,800,0.042766459,0.013486671,0.057427637
Portugal,,,,3,5,14,14,14,14,14,14,25,25,25,25,25,25,25,25,25,25,25,29.1,29.1,29.1,0,0.015302132,0.00208893
Turkey,,,,20.6,20.4,18,18,18,15,15,15,23,23,30,77,94,114,162,311,405,624,821,1063.7,1282.5,1514.7,0.181052632,0.455772838,0.108732052
Other Europe,,,,0,0,0,0,2,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.965,0.965,0.974,3.965,3.965,3.965,1.14797E-13,0.159845303,0.000284626
Total Europe,,,,617.6,710.9,794,807,902,940,875.2,933.1,1142.1,1207.9,1304.9,1380.9,1430.9,1557.2,1608.2,1771.2,1909.265,2128.265,2325.484,2619.855,2897.655,3168.665,0.093527352,0.083046104,0.227461178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,,,,11,11,23,21,70,70,56,79,87,90,80,81,81,81,81,79,78,78,78,74,74,74,0,-0.007765843,0.005312056
Total CIS,,,,,,23,21,70,70,56,79,87,90,80,81,81,81,81,79,78,78,78,78,78,74,-0.051282051,-0.002528579,0.005312056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,0,0,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,0,0,0.000524027
Kenya,,,,45,45,58,58,58,58,128,128,128,128,128,163,198,198,205.5,205.5,366.1,618.9,662.9,672.9,663,823,0.2413273,0.178773478,0.059078681
Total Africa,,,,45,45,65.3,65.3,65.3,65.3,135.3,135.3,135.3,135.3,135.3,170.3,205.3,205.3,212.8,212.8,373.4,626.2,670.2,680.2,670.3,830.3,0.23869909,0.17353796,0.059602708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,29.3,26.3,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,24.8,24.8,24.1,26.2,26.2,26,25.95,25.75,25.75,25.75,25.75,25.75,0,0.003766172,0.001848452
Indonesia,,,,,,525,785,785,805,820,850,850,980,1052,1189,1189,1226,1336,1343.5,1403.5,1438.5,1643.5,1808.5,1945.5,2130.5,0.095091236,0.063411982,0.152936975
Japan,,,,214.6,413.7,533,533,533,535,535,535,532,532,532,535,537,537,512,512,508,516,526,481,482,525,0.089211618,-0.00982139,0.037686887
New Zealand,,,,261,265,418,417,373,378,378,433,433,451,593,633,731,731,731,813,924,941,941,941,965,965,0,0.049898371,0.069272087
Philippines,,,,888,1154,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1846.5,1916.1,1916.1,1916.1,1916.1,1928.1,1928.1,0,0.004333674,0.138407783
Papua New Guinea,,,,0,0,0,0,0,6,6,36,36,56,56,56,56,56,56,56,56,56,56,56,56,56,0,0,0.004019935
Other Asia Pacific,,,,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.33,1.16,2.515151515,-0.019053335,8.32701E-05
Total Asia Pacific,,,,1393.4,1859.5,3344.7,3603.7,3559.7,3592.6,3607.6,3722.7,3719.6,3887.6,4104.7,4284.7,4384,4423.1,4508.1,4597.4,4833.95,4893.75,5108.75,5228.75,5402.68,5631.51,0.037542479,0.0278572,0.40238899
Total World,1300,3887,4764,5853.5,6770.36,8235.8,7916.8,8109,8195.9,8214.1,8564.1,8792.2,9022.2,9344.3,9790.7,9998,10088,10481.7,10731,11158.715,11814.175,12254.894,12704.465,13252.695,13930.575,0.051150351,0.035561135,1
