Country Name,Country Code,Time,Time Code,Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC]
United States,USA,2000,YR2000,100.00,100.00,100.00,73353713960741.00,820599694228722.00,542962368850183.00
United States,USA,2001,YR2001,100.00,100.00,100.00,712821680868542.00,678399231432694.00,467857120998539.00
United States,USA,2002,YR2002,100.00,100.00,100.00,708236787119647.00,86463611778167.00,484077918448262.00
United States,USA,2003,YR2003,100.00,100.00,100.00,690496749066525.00,888937612108964.00,532628227356981.00
United States,USA,2004,YR2004,100.00,100.00,100.00,679020605854096.00,863018553161945.00,547765651831783.00
United States,USA,2005,YR2005,100.00,100.00,100.00,660173784003223.00,857846553445898.00,584109087259038.00
United States,USA,2006,YR2006,100.00,100.00,100.00,63694074043804.00,924463118340514.00,639651397057971.00
United States,USA,2007,YR2007,100.00,100.00,100.00,636757144746924.00,836776393615508.00,630412819821935.00
United States,USA,2008,YR2008,100.00,100.00,100.00,622245169027002.00,900354134718557.00,684554083511255.00
United States,USA,2009,YR2009,100.00,100.00,100.00,608456327076516.00,102918450711157.00,735440475450257.00
United States,USA,2010,YR2010,100.00,100.00,100.00,60724792214272.00,101203551472397.00,75051720554451.00
United States,USA,2011,YR2011,100.00,100.00,100.00,590983674958677.00,122257135163932.00,816445164623265.00
United States,USA,2012,YR2012,100.00,100.00,100.00,569299524637643.00,120073970634651.00,848145040759456.00
United States,USA,2013,YR2013,100.00,100.00,100.00,567603563128095.00,126379191222813.00,871326157278159.00
United States,USA,2014,YR2014,100.00,100.00,100.00,562114571317303.00,129538270902926.00,875430895443964.00
United States,USA,2015,YR2015,100.00,100.00,100.00,540839253955352.00,132285932109672.00,871693586705814.00
United States,USA,2016,YR2016,100.00,100.00,100.00,,,
Germany,DEU,2000,YR2000,100.00,100.00,100.00,463529428201804.00,619853122329914.00,370043759040219.00
Germany,DEU,2001,YR2001,100.00,100.00,100.00,469475690925934.00,651244401824412.00,389967279049467.00
Germany,DEU,2002,YR2002,100.00,100.00,100.00,458939121057672.00,764270028215289.00,441263678738536.00
Germany,DEU,2003,YR2003,100.00,100.00,100.00,459786268049527.00,755297770223143.00,505846742452957.00
Germany,DEU,2004,YR2004,100.00,100.00,100.00,45769511938077.00,926747449292675.00,582524443326874.00
Germany,DEU,2005,YR2005,100.00,100.00,100.00,451146599828359.00,101502111075024.00,676455100872253.00
Germany,DEU,2006,YR2006,100.00,100.00,100.00,4471228450447.00,113220131113963.00,775322465619858.00
Germany,DEU,2007,YR2007,100.00,100.00,100.00,40991916760957.00,139380080579109.00,940658790331653.00
Germany,DEU,2008,YR2008,100.00,100.00,100.00,409940667751472.00,146992338976639.00,859224825671174.00
Germany,DEU,2009,YR2009,100.00,100.00,100.00,406809836556386.00,160785536793646.00,963006156970857.00
Germany,DEU,2010,YR2010,100.00,100.00,100.00,411533555707247.00,167270736678142.00,102935196369107.00
Germany,DEU,2011,YR2011,100.00,100.00,100.00,377303671283679.00,203832827208232.00,113943559060623.00
Germany,DEU,2012,YR2012,100.00,100.00,100.00,377181071456031.00,230004585405584.00,120151357257952.00
Germany,DEU,2013,YR2013,100.00,100.00,100.00,383175597713428.00,240725497476084.00,120890787546162.00
Germany,DEU,2014,YR2014,100.00,100.00,100.00,364039942390138.00,261300965691114.00,133788782316752.00
Germany,DEU,2015,YR2015,100.00,100.00,100.00,36030941551038.00,292317701223308.00,142062526977772.00
Germany,DEU,2016,YR2016,100.00,100.00,100.00,,,
China,CHN,2000,YR2000,94142393525458.00,962439270019531.00,100.00,102330505139265.00,166394981921286.00,297307148369434.00
China,CHN,2001,YR2001,946539613538074.00,965562057495117.00,997822723388672.00,983358330647969.00,189585191657511.00,284558153762583.00
China,CHN,2002,YR2002,950174743181508.00,968561401367187.00,998025512695313.00,962184205654561.00,176186278990475.00,270982015214674.00
China,CHN,2003,YR2003,953841839748792.00,97149787902832.00,998230514526367.00,99942099834131.00,150370403322247.00,239465795861498.00
China,CHN,2004,YR2004,957631228956269.00,974432144165039.00,99846565246582.00,103559973757278.00,162232664186372.00,202494792551361.00
China,CHN,2005,YR2005,961643641071664.00,977424926757813.00,998756866455078.00,102813087845064.00,161750249753446.00,182038186462091.00
China,CHN,2006,YR2006,966254570627196.00,980668106079102.00,999111175537109.00,997448941321124.00,155927834152258.00,170946100836398.00
China,CHN,2007,YR2007,97120619980515.00,983987045288086.00,999483032226563.00,944675565223316.00,15263347136776.00,153493711431443.00
China,CHN,2008,YR2008,976808575144427.00,987499160766602.00,999779815673828.00,888879012128668.00,177374440648538.00,146019965741267.00
China,CHN,2009,YR2009,983086743182799.00,991156463623047.00,999940795898438.00,869387284061915.00,178637981987375.00,139119622748916.00
China,CHN,2010,YR2010,98.00,99.70,100.00,867917853685099.00,186228260527723.00,128843103068778.00
China,CHN,2011,YR2011,994916258139791.00,997487258911133.00,100.00,850231950127344.00,167617704327503.00,116957969853632.00
China,CHN,2012,YR2012,998261974099054.00,999163818359375.00,100.00,819029944077663.00,199662489377563.00,119685670286267.00
China,CHN,2013,YR2013,999639480481572.00,999831161499023.00,100.00,785133380344517.00,202962273802567.00,118381669000852.00
China,CHN,2014,YR2014,999966865099426.00,999984893798828.00,100.00,710422000054532.00,226091537829535.00,122238230065824.00
China,CHN,2015,YR2015,100.00,100.00,100.00,669006970167277.00,23926817173663.00,124133525698911.00
China,CHN,2016,YR2016,100.00,100.00,100.00,,,
India,IND,2000,YR2000,481816286732758.00,593957443237305.00,887140884399414.00,694959487076476.00,135909480276924.00,515793476223734.00
India,IND,2001,YR2001,43.60,55.80,87.60,672480637599239.00,132070435298578.00,517872192257844.00
India,IND,2002,YR2002,514599656790939.00,62.30,898399200439453.00,667200102251513.00,120551611624532.00,505694426557262.00
India,IND,2003,YR2003,533333017676252.00,639244918823242.00,90401725769043.00,633392172930991.00,134694247561217.00,508427990577573.00
India,IND,2004,YR2004,535999198920632.00,64.40,909665603637695.00,618110787146406.00,144825005007376.00,497240246052468.00
India,IND,2005,YR2005,56767529101516.00,669324493408203.00,91537223815918.00,587751946572999.00,166190180757235.00,485753087512264.00
