Land,2000,2001,2002
Deutschland,6.113,8.734,12.001
Spanien,2.836,3.55,5.043
USA,2.61,4.245,4.674
Dänemark,2.341,2.456,2.88
Indien,1.22,1.456,1.702
Italien,0.424,0.7,0.806
Niederlande,0.473,0.523,0.727
Großbritannien,0.425,0.525,0.57
Japan,0.142,0.357,0.486
China,0.352,0.406,0.473
Griechenland,0.274,0.358,0.462
Schweden,0.265,0.318,0.372
Kanada,0.139,0.214,0.27
Portugal,0.111,0.153,0.204
Australien,0.03,0.071,0.189
Frankreich,0.063,0.115,0.183
Irland,0.122,0.129,0.167
Österreich,0.069,0.086,0.13
Costa Rica,0.051,0.071,0.079
Belgien,0.019,0.034,0.045
Finnland,0.039,0.04,0.044
Argentinien,0.016,0.027,0.028
Brasilien,0.022,0.023,0.024
Schweiz,0.003,0.005,0.006
Sonstige,0.296,0.321,0.505
