Land	2006	2007	2008
USA	11,603	16,664	25,17
Deutschland	20,622	22,247	23,902
Spanien	11,615	15,831	16,754
China	2,604	5,906	12,21
Indien	6,27	7,845	9,655
Italien	2,123	2,726	3,736
Frankreich	1,567	2,454	3,404
Großbritannien	1,963	2,389	3,241
Dänemark	3,136	3,125	3,163
Portugal	1,716	2,15	2,862
Kanada	1,459	1,846	2,369
Niederlande	1,56	1,746	2,225
Japan	1,309	1,538	1,88
Australien	0,817	0,824	1,306
Schweden	0,572	0,788	1,048
Irland	0,745	0,805	1,027
Österreich	0,965	0,982	0,995
Griechenland	0,746	0,871	0,985
Polen	0,153	0,276	0,544
Norwegen	0,314	0,333	0,428
Belgien	0,193	0,287	0,415
Brasilien	0,237	0,247	0,341
Südkorea	0,173	0,191	0,236
Costa Rica	0,074	0,074	0,074
Sonstige	1,687	1,719	2,821
Summe	74,223	93,864	120,79
