Land	2010	2011	2012
Deutschland	17,37	24,86	32,46
Italien	3,50	12,80	16,45
USA	2,04	3,96	7,33
China	0,80	3,30	7,00
Japan	3,62	4,91	6,63
Spanien	3,92	4,26	4,54
Frankreich	1,20	2,97	4,09
Belgien	1,07	2,09	2,77
Australien	0,57	1,38	2,42
Großbritannien	0,09	0,91	1,83
Südkorea	0,66	0,74	1,03
Kanada	0,28	0,56	0,77
Schweiz	0,11	0,21	0,44
Dänemark	0,01	0,02	0,41
Thailand	0,05	0,24	0,39
Österreich	0,10	0,19	0,36
Niederlande	0,08	0,14	0,36
Israel	0,07	0,19	0,24
Portugal	0,14	0,17	0,23
Mexiko	0,03	0,04	0,05
Malaysia	0,00	0,00	0,03
Schweden	0,01	0,02	0,02
Türkei	0,01	0,01	0,01
Norwegen	0,01	0,01	0,01
Andere	2,583	4,037	10,18
Summe Welt	38,32	68,0	100,0
