Land,2016,2017,2018
China,78.1,131.1,175.4
USA,41.0,51.8,62.5
Japan,42.1,49.5,56.2
Deutschland,40.7,42.5,45.5
Italien,19.3,19.7,20.1
Großbritannien,11.5,12.8,13.1
Australien,5.9,7.2,11.0
Frankreich,7.2,8.1,9.0
Südkorea,4.5,5.8,8.1
Türkei,1.2,4.2,7.1
Spanien,5.2,5.4,5.7
Niederlande,2.1,2.9,4.4
Belgien,3.6,3.9,4.3
Mexiko,0.3,0.5,4.1
Thailand,2.4,3.1,3.4
Kanada,2.7,2.9,3.1
Südafrika,2.3,2.3,2.4
Chile,1.1,1.8,2.4
Schweiz,1.7,1.9,2.1
Österreich,1.1,1.3,1.4
Israel,0.88,0.95,1.36
Dänemark,0.88,0.95,1.36
Malaysia,0.31,0.36,86
Portugal,0.52,0.59,0.67
Schweden,0.21,0.27,0.43
Finnland,0.04,0.08,0.13
Norwegen,0.03,0.04,0.07
Andere,28.6,47.2,66.5
