Land	2009	2010	2011
China	25,805	42,287	62,733
USA	35,068	40,18	46,919
Deutschland	25,777	27,214	29,06
Spanien	19,149	20,676	21,674
Indien	10,926	13,065	16,084
Frankreich	4,574	5,66	6,792
Italien	4,849	5,797	6,747
Großbritannien	4,245	5,204	6,54
Kanada	3,319	4,009	5,265
Portugal	3,357	3,702	4,083
Dänemark	3,465	3,572	3,871
Schweden	1,56	2,163	2,97
Japan	2,056	2,304	2,501
Niederlande	2,223	2,237	2,328
Australien	1,712	1,88	2,224
Türkei	0,801	1,329	1,799
Irland	1,31	1,428	1,631
Griechenland	1,086	1,208	1,629
Polen	0,725	1,107	1,616
Brasilien	0,606	0,931	1,509
Österreich	0,995	1,011	1,084
Belgien	0,563	0,911	1,078
Mexiko	0,202	0,517	0,873
Neuseeland	0,497	0,506	0,623
Taiwan	0,436	0,519	0,564
Ägypten	0,43	0,55	0,55
Südkorea	0,348	0,379	0,407
Marokko	0,253	0,286	0,291
Sonstige	2,401	3,758	4,906
Summe	158,74	194,39	238,35
