Date,0968.HK,3868.HK,ACA,AMRC,AZRE,BE,BYDDF,CAP.DE,CE2.DE,CREE,DQ,ENPH,FCEL,FSLR,HASI,ITRI,JKS,LAC,MAXN,NDX1.DE,NIO,NOVA,OLED,ORA,PLUG,PNE3.DE,REGI,RUN,S92.DE,SEDG,SPWR,TPIC,VBK.DE,VECO,WLDN,XJNGF,XPEV,weight
2000-01-03,,,,,,,,5.04,,41.97,,,870.75,,,7.25,,,,,,,18.62,,270.0,,,,,,,,,46.98,,,,0.1891891891891892
2000-01-04,,,,,,,,14.86,,38.28,,,819.0,,,7.25,,,,,,,16.44,,257.5,,,,,,,,,45.5,,,,0.1891891891891892
2000-01-05,,,,,,,,14.66,,37.44,,,810.0,,,6.66,,,,,,,16.62,,295.0,,,,,,,,,42.06,,,,0.1891891891891892
2000-01-06,,,,,,,,14.86,,33.34,,,864.0,,,7.0,,,,,,,15.94,,362.5,,,,,,,,,40.0,,,,0.1891891891891892
2000-01-07,,,,,,,,5.37,,37.03,,,1075.5,,,7.0,,,,,,,16.81,,790.0,,,,,,,,,37.0,,,,0.1891891891891892
2000-01-10,,,,,,,,6.34,,41.38,,,1264.5,,,7.12,,,,,,,16.06,,588.12,,,,,,,,,38.38,,,,0.1891891891891892
2000-01-11,,,,,,,,6.34,,39.78,,,1122.75,,,7.25,,,,,,,14.25,,506.88,,,,,,,,,38.44,,,,0.1891891891891892
2000-01-12,,,,,,,,6.76,,41.81,,,1071.0,,,7.02,,,,,,,13.06,,568.75,,,,,,,,,43.62,,,,0.1891891891891892
2000-01-13,,,,,,,,7.6,,42.59,,,1062.0,,,7.12,,,,,,,12.62,,578.75,,,,,,,,,44.12,,,,0.1891891891891892
2000-01-14,,,,,,,,7.73,,43.12,,,1077.75,,,6.5,,,,,,,13.38,,550.0,,,,,,,,,45.62,,,,0.1891891891891892
2000-01-17,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02702702702702703
2000-01-18,,,,,,,,7.2,,45.34,,,1098.0,,,6.94,,,,,,,14.0,,635.0,,,,,,,,,48.75,,,,0.1891891891891892
2000-01-19,,,,,,,,7.17,,47.31,,,1350.0,,,7.0,,,,,,,13.62,,777.5,,,,,,,,,48.94,,,,0.1891891891891892
2000-01-20,,,,,,,,7.3,,49.62,,,1800.0,,,6.75,,,,,,,14.0,,850.0,,,,,,,,,48.94,,,,0.1891891891891892
2000-01-21,,,,,,,,7.76,,51.38,,,2016.0,,,6.75,,,,,,,13.88,,1088.75,,,,,,,,,49.62,,,,0.1891891891891892
2000-01-24,,,,,,,,9.36,,45.69,,,1656.0,,,6.56,,,,,,,14.62,,1365.0,,,,,,,,,55.25,,,,0.1891891891891892
2000-01-25,,,,,,,,8.75,,52.12,,,1575.0,,,7.19,,,,,,,17.19,,1310.0,,,,,,,,,56.0,,,,0.1891891891891892
2000-01-26,,,,,,,,8.84,,52.5,,,1534.5,,,6.88,,,,,,,16.88,,1198.75,,,,,,,,,59.0,,,,0.1891891891891892
2000-01-27,,,,,,,,26.26,,53.06,,,1534.5,,,7.25,,,,,,,17.12,,989.38,,,,,,,,,58.0,,,,0.1891891891891892
2000-01-28,,,,,,,,8.42,,50.25,,,1422.0,,,6.88,,,,,,,15.62,,835.0,,,,,,,,,56.0,,,,0.1891891891891892
2000-01-31,,,,,,,,8.6,,47.06,,,1350.0,,,7.0,,,,,,,14.31,,937.5,,,,,,,,,54.88,,,,0.1891891891891892
2000-02-01,,,,,,,,9.71,,52.56,,,1516.5,,,6.12,,,,,,,15.12,,1134.38,,,,,,,,,58.75,,,,0.1891891891891892
2000-02-02,,,,,,,,9.58,,60.0,,,1602.0,,,5.5,,,,,,,16.75,,1030.0,,,,,,,,,58.31,,,,0.1891891891891892
2000-02-03,,,,,,,,9.74,,69.5,,,1714.5,,,5.62,,,,,,,16.38,,1110.0,,,,,,,,,60.5,,,,0.1891891891891892
2000-02-04,,,,,,,,9.74,,71.66,,,1818.0,,,5.75,,,,,,,15.44,,1150.0,,,,,,,,,61.38,,,,0.1891891891891892
2000-02-07,,,,,,,,9.91,,75.34,,,1737.0,,,5.62,,,,,,,15.0,,1090.0,,,,,,,,,61.06,,,,0.1891891891891892
2000-02-08,,,,,,,,11.06,,71.41,,,1728.0,,,5.56,,,,,,,14.88,,1130.0,,,,,,,,,64.5,,,,0.1891891891891892
